,Product,Instant_Liking,q1_1_personal_opinion_of_this_Deodorant,q2_all_words,q3_1_strength_of_the_Deodorant,q4_1_artificial_chemical,q4_2_attractive,q4_3_bold,q4_4_boring,q4_5_casual,q4_6_cheap,q4_7_clean,q4_8_easy_to_wear,q4_9_elegant,typ
110,Deodorant B,0,6,0,3,4,4,4,2,3,1,1,3,3,0.0
111,Deodorant B,0,6,1,3,4,5,3,1,1,4,4,5,4,0.0
112,Deodorant B,1,4,2,3,2,4,4,1,2,3,4,4,5,0.0
113,Deodorant B,0,7,0,5,5,3,5,3,4,3,4,4,5,0.0
114,Deodorant B,0,6,3,1,5,4,3,1,4,2,4,4,5,0.0
115,Deodorant B,0,7,1,4,1,5,4,2,5,1,4,4,4,0.0
116,Deodorant B,0,5,2,3,1,2,1,2,5,1,4,1,5,0.0
117,Deodorant B,0,6,1,3,1,3,3,2,4,2,3,1,5,0.0
118,Deodorant B,0,5,2,4,3,5,4,2,4,2,4,5,5,0.0
119,Deodorant B,0,6,2,4,2,5,3,2,3,5,4,1,4,0.0
120,Deodorant B,1,2,0,4,1,1,3,3,4,1,5,5,4,0.0
121,Deodorant B,0,5,3,3,2,5,5,2,3,2,4,5,4,0.0
122,Deodorant B,0,6,0,4,4,5,5,1,2,2,5,5,3,0.0
123,Deodorant B,0,6,2,3,1,4,3,4,2,1,4,2,1,0.0
124,Deodorant B,0,5,0,3,1,1,1,2,5,2,4,4,3,0.0
125,Deodorant B,1,4,2,4,1,1,3,1,4,2,4,5,2,0.0
126,Deodorant B,0,5,2,4,2,4,5,1,3,4,5,5,4,0.0
127,Deodorant B,1,1,1,3,3,5,3,2,5,2,4,3,1,0.0
128,Deodorant B,0,5,1,3,1,5,4,2,4,2,3,4,4,0.0
129,Deodorant B,0,5,1,4,4,1,2,2,3,4,4,5,2,0.0
130,Deodorant B,1,1,1,3,1,3,3,2,4,4,5,3,3,0.0
131,Deodorant B,0,7,1,4,3,5,2,3,2,3,3,4,2,0.0
132,Deodorant B,0,6,0,3,4,1,5,1,4,1,4,4,2,0.0
133,Deodorant B,1,1,1,3,4,1,3,2,5,5,1,3,4,0.0
134,Deodorant B,0,5,1,3,1,4,4,5,4,5,5,5,4,0.0
135,Deodorant B,0,6,3,3,1,4,1,1,2,5,5,5,5,0.0
136,Deodorant B,0,6,3,4,1,3,1,3,4,2,5,5,4,0.0
137,Deodorant B,0,5,1,4,4,5,3,3,1,2,4,3,3,0.0
138,Deodorant B,0,5,1,3,3,5,5,1,5,1,2,5,5,0.0
139,Deodorant B,1,4,1,3,3,5,5,2,1,3,5,4,4,0.0
140,Deodorant B,0,7,1,3,1,4,4,2,1,1,2,5,3,0.0
141,Deodorant B,0,7,0,3,4,5,2,1,5,1,4,4,3,0.0
142,Deodorant B,0,6,0,4,1,3,5,2,2,2,3,1,5,0.0
143,Deodorant B,0,6,2,3,4,5,4,5,4,3,5,4,5,0.0
144,Deodorant B,0,5,1,3,2,5,2,1,3,3,5,5,5,0.0
145,Deodorant B,1,4,0,3,2,5,5,2,4,5,4,5,5,0.0
146,Deodorant B,1,4,2,2,1,2,1,2,5,2,4,4,5,0.0
147,Deodorant B,0,6,0,4,1,5,4,2,4,1,5,4,3,0.0
148,Deodorant B,0,5,1,3,5,4,3,1,4,2,4,4,4,0.0
149,Deodorant B,0,5,1,4,1,3,5,1,2,2,5,2,5,0.0
150,Deodorant B,1,3,0,3,4,3,3,4,4,5,5,2,5,0.0
151,Deodorant B,0,5,2,3,5,5,2,4,4,2,5,3,5,0.0
152,Deodorant B,0,6,0,4,5,5,3,2,5,2,4,4,3,0.0
153,Deodorant B,1,4,1,3,3,2,3,2,5,1,4,4,5,0.0
154,Deodorant B,0,6,3,3,4,4,3,3,4,4,1,5,2,0.0
155,Deodorant B,0,5,2,4,1,5,4,1,5,1,3,4,4,0.0
156,Deodorant B,0,5,0,3,3,4,4,1,3,1,4,3,3,0.0
157,Deodorant B,0,5,0,3,2,3,4,4,4,5,5,3,4,0.0
158,Deodorant B,0,6,0,1,1,4,4,1,4,5,4,3,3,0.0
159,Deodorant B,0,5,3,3,2,5,1,3,3,3,5,5,4,0.0
160,Deodorant B,0,6,3,5,1,4,4,5,1,2,4,4,2,0.0
161,Deodorant B,1,4,1,3,1,5,4,1,3,2,4,5,5,0.0
162,Deodorant B,0,7,0,3,1,5,4,1,2,1,1,3,5,0.0
163,Deodorant B,0,6,1,3,2,2,4,1,5,5,3,5,5,0.0
164,Deodorant B,0,5,2,4,3,4,4,3,3,2,5,4,5,0.0
165,Deodorant B,0,7,1,3,1,2,5,2,5,2,4,4,1,0.0
166,Deodorant B,0,7,2,3,1,5,1,4,4,1,5,4,5,0.0
167,Deodorant B,0,5,1,4,1,2,4,1,5,3,5,3,5,0.0
168,Deodorant B,0,6,1,4,5,1,5,2,4,1,2,5,5,0.0
169,Deodorant B,0,5,1,3,1,3,5,4,5,2,2,4,3,0.0
170,Deodorant B,0,6,3,4,4,5,3,4,3,1,5,5,5,0.0
171,Deodorant B,0,6,1,3,2,2,2,1,4,2,2,5,2,0.0
172,Deodorant B,0,6,1,3,4,4,3,1,5,1,4,4,2,0.0
173,Deodorant B,0,6,1,3,2,3,4,1,3,2,1,4,5,0.0
174,Deodorant B,0,6,1,3,1,5,1,1,4,1,4,4,3,0.0
175,Deodorant B,0,5,3,4,2,1,3,2,1,2,5,5,4,0.0
176,Deodorant B,0,5,2,3,4,4,4,2,5,4,5,3,3,0.0
177,Deodorant B,0,5,3,3,2,4,3,2,2,2,2,5,3,0.0
178,Deodorant B,0,7,1,4,5,1,5,1,5,2,3,4,2,0.0
179,Deodorant B,0,6,1,3,1,4,4,4,4,2,3,5,5,0.0
180,Deodorant B,0,5,2,4,2,5,5,3,5,3,5,5,5,0.0
181,Deodorant B,1,1,2,4,3,5,1,2,2,5,5,5,2,0.0
182,Deodorant B,0,6,0,3,1,1,2,3,3,1,4,1,5,0.0
183,Deodorant B,1,1,2,4,1,1,4,1,5,1,5,5,2,0.0
184,Deodorant B,0,6,1,3,2,5,3,2,2,1,3,2,4,0.0
185,Deodorant B,0,5,0,3,4,5,2,5,1,1,4,5,1,0.0
186,Deodorant B,0,6,0,3,3,4,5,3,5,1,5,5,4,0.0
187,Deodorant B,0,5,2,3,3,3,4,4,5,1,4,3,5,0.0
188,Deodorant B,0,5,2,5,1,5,5,2,5,1,3,1,5,0.0
189,Deodorant B,0,7,0,5,5,4,4,2,1,3,4,4,3,0.0
190,Deodorant B,0,5,0,4,3,4,5,2,5,1,4,4,5,0.0
191,Deodorant B,0,6,1,4,3,4,3,5,3,4,5,1,3,0.0
192,Deodorant B,1,2,1,3,5,4,2,4,3,5,3,5,4,0.0
193,Deodorant B,0,5,0,3,2,3,5,2,4,1,5,4,4,0.0
194,Deodorant B,0,5,1,3,2,4,2,1,4,2,3,5,5,0.0
195,Deodorant B,0,7,0,3,4,4,5,2,3,5,5,2,3,0.0
196,Deodorant B,1,4,1,3,3,3,4,2,5,1,4,5,3,0.0
197,Deodorant B,0,6,0,3,1,5,2,3,3,4,5,3,3,0.0
198,Deodorant B,0,5,1,3,1,4,5,3,4,1,5,4,5,0.0
199,Deodorant B,0,5,2,4,4,5,5,1,5,2,4,5,4,0.0
200,Deodorant B,0,6,2,3,3,4,1,1,5,1,1,2,5,0.0
201,Deodorant B,0,6,3,3,5,4,5,2,5,2,1,3,2,0.0
202,Deodorant B,0,6,3,3,3,5,4,1,4,3,5,3,5,0.0
203,Deodorant B,0,5,2,3,1,5,4,2,5,2,4,1,5,0.0
204,Deodorant B,0,7,0,4,2,2,5,2,5,2,5,3,4,0.0
205,Deodorant B,0,6,0,4,3,3,4,2,5,2,5,5,5,0.0
206,Deodorant B,0,7,2,3,1,5,3,1,4,1,5,3,5,0.0
207,Deodorant B,0,5,1,3,1,3,4,3,2,5,5,3,4,0.0
208,Deodorant B,0,6,1,4,4,5,5,2,5,1,3,3,1,0.0
209,Deodorant B,1,1,2,4,1,5,3,2,5,3,1,4,4,0.0
210,Deodorant B,1,4,1,3,3,5,5,5,2,1,5,4,4,0.0
211,Deodorant B,0,5,1,4,1,4,5,2,3,4,4,2,2,0.0
212,Deodorant B,1,4,2,4,2,5,4,1,5,2,2,3,2,0.0
213,Deodorant B,1,2,1,4,4,4,5,1,5,3,4,5,5,0.0
214,Deodorant B,1,2,1,3,1,4,5,1,2,3,4,5,5,0.0
215,Deodorant B,0,6,2,3,1,3,4,5,4,1,2,4,5,0.0
216,Deodorant B,0,5,1,3,2,4,5,2,5,1,5,3,5,0.0
217,Deodorant B,1,1,0,3,2,4,3,1,4,1,4,5,5,0.0
218,Deodorant B,0,7,1,4,3,5,4,3,1,5,2,5,4,0.0
219,Deodorant B,0,7,2,3,3,4,5,1,3,1,4,4,3,0.0
220,Deodorant B,0,7,3,4,1,5,1,2,5,2,5,3,5,0.0
221,Deodorant B,0,5,1,5,1,4,3,1,4,1,5,5,3,0.0
222,Deodorant B,0,5,1,3,3,5,4,3,4,1,3,5,4,0.0
223,Deodorant B,0,5,1,3,2,4,2,1,3,5,4,2,3,0.0
224,Deodorant B,0,6,0,3,4,4,5,1,3,5,5,5,3,0.0
225,Deodorant B,0,5,1,3,2,5,5,2,3,2,4,5,1,0.0
226,Deodorant B,1,4,2,4,2,3,5,2,4,1,4,4,5,0.0
227,Deodorant B,1,3,1,3,1,1,3,5,3,1,4,5,4,0.0
228,Deodorant B,0,5,3,3,2,3,4,1,5,5,4,2,4,0.0
229,Deodorant B,0,7,0,3,2,5,3,2,2,5,5,2,5,0.0
230,Deodorant B,0,7,1,3,5,4,4,4,1,2,5,2,5,0.0
231,Deodorant B,0,5,1,3,4,4,4,3,2,1,5,4,3,0.0
232,Deodorant B,0,6,0,3,3,5,4,1,5,2,4,2,5,0.0
233,Deodorant B,0,7,1,3,3,5,2,1,2,1,5,4,4,0.0
234,Deodorant B,0,5,1,5,3,2,5,3,4,1,4,5,3,0.0
235,Deodorant B,0,5,2,3,2,4,5,2,5,1,5,2,5,0.0
236,Deodorant B,0,6,1,3,2,4,4,1,2,5,2,5,5,0.0
237,Deodorant B,1,4,2,3,4,4,4,1,5,3,3,3,3,0.0
238,Deodorant B,1,3,2,4,3,3,2,3,3,1,5,5,3,0.0
239,Deodorant B,0,6,1,3,3,1,3,1,5,3,5,5,5,0.0
240,Deodorant B,0,6,1,3,1,4,5,1,5,2,5,3,4,0.0
241,Deodorant B,1,4,1,4,1,4,4,3,4,4,1,4,4,0.0
242,Deodorant B,0,6,1,3,3,4,2,2,3,3,2,2,5,0.0
243,Deodorant B,0,6,1,3,1,3,5,2,3,2,5,1,5,0.0
244,Deodorant B,0,5,0,3,3,5,4,2,1,2,3,1,5,0.0
245,Deodorant B,0,5,1,3,1,4,4,3,5,2,2,4,4,0.0
246,Deodorant B,1,4,1,3,3,1,4,1,2,1,3,5,5,0.0
247,Deodorant B,0,6,0,4,3,1,5,2,4,1,5,3,3,0.0
248,Deodorant B,0,6,1,3,1,4,4,1,2,2,5,5,1,0.0
249,Deodorant B,0,6,1,3,3,2,5,3,3,5,5,5,4,0.0
250,Deodorant B,0,6,1,4,1,5,2,1,2,2,4,5,4,0.0
251,Deodorant B,1,1,1,3,2,4,4,5,5,4,1,1,5,0.0
252,Deodorant B,0,6,0,3,5,5,5,3,2,3,4,3,4,0.0
253,Deodorant B,0,5,2,3,1,3,4,1,4,1,2,3,5,0.0
254,Deodorant B,0,6,0,3,1,4,4,2,5,5,1,4,5,0.0
255,Deodorant B,0,6,2,3,1,2,5,1,5,1,5,4,1,0.0
256,Deodorant B,0,7,1,5,1,3,4,1,3,5,5,5,4,0.0
257,Deodorant B,0,6,0,3,2,2,3,2,3,3,5,5,4,0.0
258,Deodorant B,1,4,0,4,1,4,4,2,5,2,5,5,4,0.0
259,Deodorant B,0,5,2,3,3,5,5,3,3,1,3,4,3,0.0
260,Deodorant B,0,6,1,4,1,1,1,1,2,1,3,5,4,0.0
261,Deodorant B,0,5,0,3,4,5,2,1,1,2,5,4,3,0.0
262,Deodorant B,1,3,2,4,3,2,1,1,5,1,4,5,2,0.0
263,Deodorant B,0,5,0,3,1,5,5,2,4,2,4,3,3,0.0
264,Deodorant B,1,2,2,3,1,5,2,5,5,4,3,4,5,0.0
265,Deodorant B,0,6,0,2,1,4,4,4,5,1,4,3,1,0.0
266,Deodorant B,0,5,1,3,2,5,4,2,3,1,5,5,5,0.0
267,Deodorant B,0,6,2,3,2,4,5,1,5,2,4,4,4,0.0
268,Deodorant B,0,7,2,3,3,2,4,2,5,3,3,3,4,0.0
269,Deodorant B,0,6,0,3,2,2,4,1,4,3,4,4,5,0.0
270,Deodorant B,1,4,1,4,4,4,4,1,2,5,4,3,3,0.0
271,Deodorant B,1,4,0,3,3,5,4,1,5,3,5,3,5,0.0
272,Deodorant B,0,5,3,3,1,5,5,3,1,2,5,5,2,0.0
273,Deodorant B,1,4,3,3,1,3,2,2,3,2,5,4,5,0.0
274,Deodorant B,0,6,1,3,2,4,4,2,3,3,4,5,5,0.0
275,Deodorant B,0,6,1,3,2,5,3,3,2,5,4,2,3,0.0
276,Deodorant B,0,5,2,3,3,3,4,2,3,2,5,5,1,0.0
277,Deodorant B,1,4,0,3,1,4,3,4,5,1,3,4,4,0.0
278,Deodorant B,0,5,3,3,1,2,5,5,4,1,4,5,5,0.0
279,Deodorant B,0,5,1,4,5,5,4,1,5,2,5,5,5,0.0
280,Deodorant B,0,6,1,3,4,1,3,3,5,2,3,4,1,0.0
281,Deodorant B,1,4,0,2,5,1,5,1,4,2,5,5,4,0.0
282,Deodorant B,1,1,1,2,4,5,1,4,2,2,3,4,5,0.0
283,Deodorant B,0,7,1,3,1,4,4,1,3,3,5,3,5,0.0
284,Deodorant B,0,7,2,3,1,5,4,4,4,2,5,5,1,0.0
285,Deodorant B,0,7,1,3,2,4,4,4,2,2,5,5,2,0.0
286,Deodorant B,0,6,2,3,1,4,4,1,4,5,3,1,4,0.0
287,Deodorant B,1,4,1,3,3,5,4,5,5,2,5,2,4,0.0
288,Deodorant B,0,5,2,5,1,4,2,4,5,5,5,5,5,0.0
289,Deodorant B,1,3,1,5,2,3,4,3,1,1,4,3,1,0.0
290,Deodorant B,0,7,1,3,2,3,5,3,2,3,4,5,3,0.0
291,Deodorant B,0,6,2,3,1,4,5,2,4,2,4,3,5,0.0
292,Deodorant B,0,5,0,3,1,4,4,4,2,2,4,3,5,0.0
293,Deodorant B,0,6,0,3,1,3,5,1,3,2,3,2,3,0.0
294,Deodorant B,0,5,3,3,5,4,5,1,1,4,4,4,3,0.0
295,Deodorant B,0,6,2,4,3,5,3,2,5,3,5,5,5,0.0
296,Deodorant B,0,5,0,3,4,5,5,1,1,4,3,5,1,0.0
297,Deodorant B,0,5,1,4,4,4,3,2,5,1,2,4,3,0.0
298,Deodorant B,0,6,3,4,5,1,2,1,2,4,4,3,4,0.0
299,Deodorant B,0,6,2,4,1,5,4,1,3,4,4,4,3,0.0
300,Deodorant B,0,7,0,5,2,2,4,5,3,4,5,5,3,0.0
301,Deodorant B,0,5,1,3,1,5,3,1,4,3,5,2,3,0.0
302,Deodorant B,0,5,2,3,1,5,3,1,5,1,1,5,5,0.0
303,Deodorant B,0,6,2,3,1,5,4,3,4,2,3,5,5,0.0
304,Deodorant B,0,5,1,3,1,2,4,2,3,4,2,4,4,0.0
305,Deodorant B,0,5,1,4,4,1,4,2,3,1,4,4,5,0.0
306,Deodorant B,0,6,3,3,5,3,3,2,2,2,4,3,4,0.0
307,Deodorant B,0,6,0,3,2,5,4,2,5,5,3,5,3,0.0
308,Deodorant B,0,6,0,2,3,4,4,3,5,1,3,4,5,0.0
309,Deodorant B,1,1,1,3,1,4,4,2,3,1,5,4,3,0.0
310,Deodorant B,0,6,1,4,1,4,1,2,5,5,4,4,5,0.0
311,Deodorant B,0,7,1,4,2,3,4,2,2,5,1,5,4,0.0
312,Deodorant B,0,6,0,3,2,5,5,1,4,2,5,3,3,0.0
313,Deodorant B,0,5,2,4,2,4,2,2,3,1,2,4,5,0.0
314,Deodorant B,0,5,0,3,2,4,2,5,2,5,4,5,5,0.0
315,Deodorant B,1,1,2,4,4,4,5,1,2,5,4,4,4,0.0
316,Deodorant B,0,7,2,3,4,2,5,3,5,2,5,2,3,0.0
317,Deodorant B,0,6,2,3,4,4,4,2,4,4,4,2,2,0.0
318,Deodorant B,0,5,2,3,5,5,4,2,3,2,2,5,3,0.0
319,Deodorant B,1,3,1,3,1,2,2,2,2,1,5,4,4,0.0
320,Deodorant B,0,7,1,4,2,2,4,2,4,1,5,1,4,0.0
321,Deodorant B,1,1,1,5,1,4,4,3,5,2,4,4,4,0.0
322,Deodorant B,0,6,2,4,4,4,1,2,5,3,3,2,2,0.0
323,Deodorant B,1,1,1,3,1,5,3,1,1,5,4,5,5,0.0
324,Deodorant B,0,6,1,3,1,5,5,3,4,1,5,1,4,0.0
325,Deodorant B,1,4,0,4,2,1,5,1,2,1,2,5,4,0.0
326,Deodorant B,0,5,2,4,4,4,4,4,1,1,3,5,5,0.0
327,Deodorant B,1,3,2,4,3,4,3,3,3,3,5,1,5,0.0
328,Deodorant B,0,5,0,3,1,2,5,3,4,2,3,5,3,0.0
329,Deodorant B,0,6,1,5,1,5,5,5,3,2,5,5,2,0.0
330,Deodorant B,0,5,1,4,3,3,4,1,3,2,3,1,3,0.0
331,Deodorant B,0,6,0,3,1,4,1,1,5,3,5,2,2,0.0
332,Deodorant B,0,5,0,5,2,3,3,2,4,1,4,1,4,0.0
333,Deodorant B,1,4,0,5,4,4,2,2,4,4,3,2,5,0.0
334,Deodorant B,0,5,2,3,1,5,4,1,1,2,3,4,4,0.0
335,Deodorant B,0,5,1,5,2,5,2,1,5,5,1,5,5,0.0
336,Deodorant B,0,5,1,4,4,4,2,3,3,2,3,5,2,0.0
337,Deodorant B,0,5,1,4,1,4,4,1,4,2,5,5,2,0.0
338,Deodorant B,0,7,0,3,4,3,3,2,4,3,5,5,2,0.0
339,Deodorant B,0,7,4,3,1,5,1,2,5,1,4,1,1,0.0
340,Deodorant B,0,5,3,4,5,1,3,1,5,1,5,5,4,0.0
341,Deodorant B,0,5,2,4,1,2,3,3,4,1,4,5,4,0.0
342,Deodorant B,0,7,2,4,1,3,4,2,2,4,5,3,4,0.0
343,Deodorant B,0,6,0,4,1,5,5,2,5,2,5,5,4,0.0
344,Deodorant B,0,6,1,5,1,3,3,4,3,4,4,4,5,0.0
345,Deodorant B,0,5,1,3,1,2,4,3,4,3,4,4,4,0.0
346,Deodorant B,0,5,0,3,3,5,2,5,3,1,2,4,1,0.0
347,Deodorant B,1,4,2,4,1,5,3,1,4,4,5,4,5,0.0
348,Deodorant B,0,6,1,4,4,4,4,5,4,3,1,4,1,0.0
349,Deodorant B,0,6,1,3,4,1,4,1,4,5,5,3,5,0.0
350,Deodorant B,0,5,0,4,3,4,4,1,5,1,5,4,3,0.0
